Afghanistan,AFG,2016,19469022208.00
Albania,ALB,2016,11863865978.00
Zimbabwe,ZWE,2016,16619960402.00
Zimbabwe,ZWE,2015,16304667807.00
Zimbabwe,ZWE,2014,15891049236.00
Zimbabwe,ZWE,2013,15451768659.00
Zimbabwe,ZWE,2012,14242490252.00
Zimbabwe,ZWE,2011,12098450749.00
Zimbabwe,ZWE,2010,10141859710.00
Zimbabwe,ZWE,2009,8621573608.00
Zimbabwe,ZWE,2008,4415702800.00
Zambia,ZMB,2016,21063989683.00
Zambia,ZMB,2015,21154394546.00
Zambia,ZMB,2014,27150630607.00
Zambia,ZMB,2013,28045460442.00
Zambia,ZMB,2012,25503370699.00
Zambia,ZMB,2011,23460098340.00
Zambia,ZMB,2010,20265556274.00
Zambia,ZMB,2009,15328342304.00
Zambia,ZMB,2008,17910858638.00
Vanuatu,VUT,2016,773502895.90
Vanuatu,VUT,2015,742432131.00
Vanuatu,VUT,2014,814954307.00
Vanuatu,VUT,2013,801787555.90
Vanuatu,VUT,2012,781702874.10
Vanuatu,VUT,2011,792149700.70
Vanuatu,VUT,2010,700804286.20
Vanuatu,VUT,2009,610066628.70
Vanuatu,VUT,2008,607958616.10
Uzbekistan,UZB,2016,67220335570.00
Uzbekistan,UZB,2015,66903804143.00
Uzbekistan,UZB,2014,63067077179.00
Uzbekistan,UZB,2013,57690453461.00
Uzbekistan,UZB,2012,51821573338.00
Uzbekistan,UZB,2011,45915191189.00
Uzbekistan,UZB,2010,39332770929.00
Uzbekistan,UZB,2009,33689223673.00
Uzbekistan,UZB,2008,29549438884.00
Uruguay,URY,2016,52419720714.00
Uruguay,URY,2015,53274304215.00
Uruguay,URY,2014,57236013078.00
Uruguay,URY,2013,57531233351.00
Uruguay,URY,2012,51264390121.00
Uruguay,URY,2011,47962439293.00
Uruguay,URY,2010,40284481662.00
Uruguay,URY,2009,31660911290.00
Uruguay,URY,2008,30366213095.00
Ukraine,UKR,2016,93270479389.00
Ukraine,UKR,2015,91030959455.00
Uganda,UGA,2016,24078931933.00
Uganda,UGA,2015,27059447775.00
Uganda,UGA,2014,27295207928.00
Uganda,UGA,2013,24599553472.00
Uganda,UGA,2012,23132149257.00
Uganda,UGA,2011,20176751242.00
Uganda,UGA,2010,20186496527.00
Uganda,UGA,2009,18168902154.00
Uganda,UGA,2008,14239026630.00
Tuvalu,TUV,2016,34218878.44
Tuvalu,TUV,2015,32673277.74
Tuvalu,TUV,2014,37259689.92
Tuvalu,TUV,2013,38322359.53
Tuvalu,TUV,2012,39875750.67
Tuvalu,TUV,2011,39312016.50
Tuvalu,TUV,2010,31823518.62
Tuvalu,TUV,2009,27101076.28
Tuvalu,TUV,2008,30290219.76
Turkmenistan,TKM,2016,36179885714.00
Turkmenistan,TKM,2015,35799628571.00
Turkmenistan,TKM,2014,43524210526.00
Turkmenistan,TKM,2013,39197543860.00
Turkmenistan,TKM,2012,35164210526.00
Turkmenistan,TKM,2011,29233333333.00
Turkmenistan,TKM,2010,22583157895.00
Turkmenistan,TKM,2009,20214385965.00
Turkmenistan,TKM,2008,19271523179.00
Tunisia,TUN,2016,42062549395.00
Tunisia,TUN,2015,43156708809.00
